Id,Id2,Geography,Total
0600000US2700968476,2700968476,"Watab township, Benton County, Minnesota",3093
0600000US2701100532,2701100532,"Akron township, Big Stone County, Minnesota",168
0600000US2701101126,2701101126,"Almond township, Big Stone County, Minnesota",110
0600000US2701102350,2701102350,"Artichoke township, Big Stone County, Minnesota",79
0600000US2701103718,2701103718,"Barry city, Big Stone County, Minnesota",16
0600000US2701105788,2701105788,"Big Stone township, Big Stone County, Minnesota",275
0600000US2701108182,2701108182,"Browns Valley township, Big Stone County, Minnesota",358
0600000US2701111980,2701111980,"Clinton city, Big Stone County, Minnesota",449
0600000US2701113384,2701113384,"Correll city, Big Stone County, Minnesota",34
0600000US2701122058,2701122058,"Foster township, Big Stone County, Minnesota",112
0600000US2701124758,2701124758,"Graceville city, Big Stone County, Minnesota",577
0600000US2701124776,2701124776,"Graceville township, Big Stone County, Minnesota",197
0600000US2701139608,2701139608,"Malta township, Big Stone County, Minnesota",98
0600000US2701143828,2701143828,"Moonshine township, Big Stone County, Minnesota",131
0600000US2701148058,2701148058,"Odessa city, Big Stone County, Minnesota",135
0600000US2701148076,2701148076,"Odessa township, Big Stone County, Minnesota",132
0600000US2701148724,2701148724,"Ortonville township, Big Stone County, Minnesota",2011
0600000US2701149120,2701149120,"Otrey township, Big Stone County, Minnesota",87
0600000US2701152576,2701152576,"Prior township, Big Stone County, Minnesota",247
0600000US2701165200,2701165200,"Toqua township, Big Stone County, Minnesota",53
0600000US2701301324,2701301324,"Amboy city, Blue Earth County, Minnesota",534
0600000US2701304330,2701304330,"Beauford township, Blue Earth County, Minnesota",406
0600000US2701309046,2701309046,"Butternut Valley township, Blue Earth County, Minnesota",325
0600000US2701309352,2701309352,"Cambria township, Blue Earth County, Minnesota",260
0600000US2701310756,2701310756,"Ceresco township, Blue Earth County, Minnesota",239
0600000US2701314752,2701314752,"Danville township, Blue Earth County, Minnesota",240
0600000US2701315130,2701315130,"Decoria township, Blue Earth County, Minnesota",1104
0600000US2701317378,2701317378,"Eagle Lake city, Blue Earth County, Minnesota",2422
0600000US2701323102,2701323102,"Garden City township, Blue Earth County, Minnesota",689
0600000US2701324506,2701324506,"Good Thunder city, Blue Earth County, Minnesota",583
0600000US2701331688,2701331688,"Jamestown township, Blue Earth County, Minnesota",693
0600000US2701332210,2701332210,"Judson township, Blue Earth County, Minnesota",554
0600000US2701334190,2701334190,"Lake Crystal city, Blue Earth County, Minnesota",2549
0600000US2701336584,2701336584,"Le Ray township, Blue Earth County, Minnesota",746
0600000US2701337052,2701337052,"Lime township, Blue Earth County, Minnesota",1395
0600000US2701337124,2701337124,"Lincoln township, Blue Earth County, Minnesota",200
0600000US2701338870,2701338870,"Lyra township, Blue Earth County, Minnesota",327
0600000US2701339176,2701339176,"McPherson township, Blue Earth County, Minnesota",466
0600000US2701339320,2701339320,"Madison Lake city, Blue Earth County, Minnesota",1017
0600000US2701339878,2701339878,"Mankato city, Blue Earth County, Minnesota",39305
0600000US2701339896,2701339896,"Mankato township, Blue Earth County, Minnesota",1969
0600000US2701340310,2701340310,"Mapleton city, Blue Earth County, Minnesota",1756
0600000US2701340328,2701340328,"Mapleton township, Blue Earth County, Minnesota",310
0600000US2701341498,2701341498,"Medo township, Blue Earth County, Minnesota",364
0600000US2701343198,2701343198,"Minnesota Lake city, Blue Earth County, Minnesota",4
0600000US2701347068,2701347068,"North Mankato city, Blue Earth County, Minnesota",0
