Id,Id2,Geography,pop2016,Margin of Error; Total
0600000US2700736170,2700736170,"Lee township, Beltrami County, Minnesota",44,16
0600000US2700736926,2700736926,"Liberty township, Beltrami County, Minnesota",670,86
0600000US2700738335,2700738335,"Lower Red Lake UT, Beltrami County, Minnesota",5856,19
0600000US2700740274,2700740274,"Maple Ridge township, Beltrami County, Minnesota",126,33
0600000US2700743360,2700743360,"Minnie township, Beltrami County, Minnesota",24,10
0600000US2700743936,2700743936,"Moose Lake township, Beltrami County, Minnesota",212,42
0600000US2700745088,2700745088,"Nebish township, Beltrami County, Minnesota",275,47
0600000US2700746770,2700746770,"North Beltrami UT, Beltrami County, Minnesota",48,16
0600000US2700746906,2700746906,"Northern township, Beltrami County, Minnesota",4106,24
0600000US2700748040,2700748040,"O'Brien township, Beltrami County, Minnesota",33,15
0600000US2700752162,2700752162,"Port Hope township, Beltrami County, Minnesota",640,66
0600000US2700752828,2700752828,"Quiring township, Beltrami County, Minnesota",76,23
0600000US2700755402,2700755402,"Roosevelt township, Beltrami County, Minnesota",254,82
0600000US2700759926,2700759926,"Shooks township, Beltrami County, Minnesota",168,52
0600000US2700760070,2700760070,"Shotley township, Beltrami County, Minnesota",27,9
0600000US2700760079,2700760079,"Shotley Brook UT, Beltrami County, Minnesota",6,8
0600000US2700761114,2700761114,"Solway city, Beltrami County, Minnesota",94,40
0600000US2700762230,2700762230,"Spruce Grove township, Beltrami County, Minnesota",55,21
0600000US2700762680,2700762680,"Steenerson township, Beltrami County, Minnesota",38,20
0600000US2700763274,2700763274,"Sugar Bush township, Beltrami County, Minnesota",270,60
0600000US2700763328,2700763328,"Summit township, Beltrami County, Minnesota",257,97
0600000US2700764291,2700764291,"Taylor township, Beltrami County, Minnesota",124,38
0600000US2700764390,2700764390,"Ten Lake township, Beltrami County, Minnesota",1189,131
0600000US2700764444,2700764444,"Tenstrike city, Beltrami County, Minnesota",193,56
0600000US2700765758,2700765758,"Turtle Lake township, Beltrami County, Minnesota",1283,125
0600000US2700765794,2700765794,"Turtle River city, Beltrami County, Minnesota",89,20
0600000US2700765812,2700765812,"Turtle River township, Beltrami County, Minnesota",1176,147
0600000US2700766307,2700766307,"Upper Red Lake UT, Beltrami County, Minnesota",14,16
0600000US2700768440,2700768440,"Waskish township, Beltrami County, Minnesota",92,31
0600000US2700770708,2700770708,"Wilton city, Beltrami County, Minnesota",173,52
0600000US2700771590,2700771590,"Woodrow township, Beltrami County, Minnesota",85,42
0600000US2700900668,2700900668,"Alberta township, Benton County, Minnesota",805,110
0600000US2700921536,2700921536,"Foley city, Benton County, Minnesota",2654,33
0600000US2700923804,2700923804,"Gilman city, Benton County, Minnesota",216,50
0600000US2700923822,2700923822,"Gilmanton township, Benton County, Minnesota",766,89
0600000US2700924020,2700924020,"Glendorado township, Benton County, Minnesota",709,86
0600000US2700924812,2700924812,"Graham township, Benton County, Minnesota",594,79
0600000US2700925298,2700925298,"Granite Ledge township, Benton County, Minnesota",765,87
0600000US2700935522,2700935522,"Langola township, Benton County, Minnesota",1087,129
0600000US2700941192,2700941192,"Mayhew Lake township, Benton County, Minnesota",892,100
0600000US2700941264,2700941264,"Maywood township, Benton County, Minnesota",848,105
0600000US2700942434,2700942434,"Minden township, Benton County, Minnesota",1607,157
0600000US2700953998,2700953998,"Rice city, Benton County, Minnesota",1467,114
0600000US2700956176,2700956176,"Royalton city, Benton County, Minnesota",0,9
0600000US2700956896,2700956896,"St. Cloud city, Benton County, Minnesota",6618,26
0600000US2700956986,2700956986,"St. George township, Benton County, Minnesota",1287,176
0600000US2700958612,2700958612,"Sartell city, Benton County, Minnesota",2160,160
0600000US2700958684,2700958684,"Sauk Rapids city, Benton County, Minnesota",13334,42
0600000US2700958702,2700958702,"Sauk Rapids township, Benton County, Minnesota",498,80
0600000US2700968476,2700968476,"Watab township, Benton County, Minnesota",3150,21
0600000US2701100532,2701100532,"Akron township, Big Stone County, Minnesota",172,44
0600000US2701101126,2701101126,"Almond township, Big Stone County, Minnesota",167,75
0600000US2701102350,2701102350,"Artichoke township, Big Stone County, Minnesota",67,21
0600000US2701103718,2701103718,"Barry city, Big Stone County, Minnesota",5,8
0600000US2701104204,2701104204,"Beardsley city, Big Stone County, Minnesota",180,40
0600000US2701105788,2701105788,"Big Stone township, Big Stone County, Minnesota",281,57
0600000US2701108182,2701108182,"Browns Valley township, Big Stone County, Minnesota",71,15
0600000US2701111980,2701111980,"Clinton city, Big Stone County, Minnesota",401,88
0600000US2701113384,2701113384,"Correll city, Big Stone County, Minnesota",40,18
0600000US2701122058,2701122058,"Foster township, Big Stone County, Minnesota",131,48
0600000US2701124758,2701124758,"Graceville city, Big Stone County, Minnesota",647,60
0600000US2701124776,2701124776,"Graceville township, Big Stone County, Minnesota",153,73
0600000US2701132012,2701132012,"Johnson city, Big Stone County, Minnesota",0,9
0600000US2701139608,2701139608,"Malta township, Big Stone County, Minnesota",69,31
0600000US2701143828,2701143828,"Moonshine township, Big Stone County, Minnesota",132,39
0600000US2701148058,2701148058,"Odessa city, Big Stone County, Minnesota",184,59
0600000US2701148076,2701148076,"Odessa township, Big Stone County, Minnesota",135,34
0600000US2701148706,2701148706,"Ortonville city, Big Stone County, Minnesota",1930,119
0600000US2701148724,2701148724,"Ortonville township, Big Stone County, Minnesota",73,30
0600000US2701149120,2701149120,"Otrey township, Big Stone County, Minnesota",45,14
0600000US2701152576,2701152576,"Prior township, Big Stone County, Minnesota",186,56
0600000US2701165200,2701165200,"Toqua township, Big Stone County, Minnesota",29,16
0600000US2701301324,2701301324,"Amboy city, Blue Earth County, Minnesota",673,113
0600000US2701304330,2701304330,"Beauford township, Blue Earth County, Minnesota",474,88
0600000US2701309046,2701309046,"Butternut Valley township, Blue Earth County, Minnesota",299,48
0600000US2701309352,2701309352,"Cambria township, Blue Earth County, Minnesota",267,40
0600000US2701310756,2701310756,"Ceresco township, Blue Earth County, Minnesota",213,63
0600000US2701314752,2701314752,"Danville township, Blue Earth County, Minnesota",227,30
0600000US2701315130,2701315130,"Decoria township, Blue Earth County, Minnesota",1106,102
0600000US2701317378,2701317378,"Eagle Lake city, Blue Earth County, Minnesota",2712,31
0600000US2701323102,2701323102,"Garden City township, Blue Earth County, Minnesota",867,130
0600000US2701324506,2701324506,"Good Thunder city, Blue Earth County, Minnesota",542,66
0600000US2701331688,2701331688,"Jamestown township, Blue Earth County, Minnesota",714,110
0600000US2701332210,2701332210,"Judson township, Blue Earth County, Minnesota",550,88
0600000US2701334190,2701334190,"Lake Crystal city, Blue Earth County, Minnesota",2430,232
0600000US2701336584,2701336584,"Le Ray township, Blue Earth County, Minnesota",733,100
0600000US2701337052,2701337052,"Lime township, Blue Earth County, Minnesota",1084,174
0600000US2701337124,2701337124,"Lincoln township, Blue Earth County, Minnesota",242,47
0600000US2701338870,2701338870,"Lyra township, Blue Earth County, Minnesota",319,62
0600000US2701339176,2701339176,"McPherson township, Blue Earth County, Minnesota",445,88
0600000US2701339320,2701339320,"Madison Lake city, Blue Earth County, Minnesota",1007,137
0600000US2701339878,2701339878,"Mankato city, Blue Earth County, Minnesota",40900,87
0600000US2701339896,2701339896,"Mankato township, Blue Earth County, Minnesota",1859,148
0600000US2701340310,2701340310,"Mapleton city, Blue Earth County, Minnesota",1605,170
0600000US2701340328,2701340328,"Mapleton township, Blue Earth County, Minnesota",335,86
0600000US2701341498,2701341498,"Medo township, Blue Earth County, Minnesota",355,61
0600000US2701343198,2701343198,"Minnesota Lake city, Blue Earth County, Minnesota",4,4
0600000US2701347068,2701347068,"North Mankato city, Blue Earth County, Minnesota",0,9
0600000US2701350200,2701350200,"Pemberton city, Blue Earth County, Minnesota",254,56
0600000US2701351604,2701351604,"Pleasant Mound township, Blue Earth County, Minnesota",182,34
0600000US2701353206,2701353206,"Rapidan township, Blue Earth County, Minnesota",1064,95
0600000US2701356824,2701356824,"St. Clair city, Blue Earth County, Minnesota",873,132
0600000US2701359458,2701359458,"Shelby township, Blue Earth County, Minnesota",283,49
0600000US2701360754,2701360754,"Skyline city, Blue Earth County, Minnesota",301,47
0600000US2701361240,2701361240,"South Bend township, Blue Earth County, Minnesota",1774,184
0600000US2701362716,2701362716,"Sterling township, Blue Earth County, Minnesota",290,60
0600000US2701366910,2701366910,"Vernon Center city, Blue Earth County, Minnesota",326,56
0600000US2701366928,2701366928,"Vernon Center township, Blue Earth County, Minnesota",215,45
0600000US2701500748,2701500748,"Albin township, Brown County, Minnesota",336,60
0600000US2701503826,2701503826,"Bashaw township, Brown County, Minnesota",285,109
0600000US2701508776,2701508776,"Burnstown township, Brown County, Minnesota",223,61
0600000US2701512394,2701512394,"Cobden city, Brown County, Minnesota",17,11
0600000US2701512772,2701512772,"Comfrey city, Brown County, Minnesota",350,78
0600000US2701513546,2701513546,"Cottonwood township, Brown County, Minnesota",774,82
0600000US2701518026,2701518026,"Eden township, Brown County, Minnesota",275,71
0600000US2701519880,2701519880,"Evan city, Brown County, Minnesota",57,30
0600000US2701527008,2701527008,"Hanska city, Brown County, Minnesota",383,58
0600000US2701529960,2701529960,"Home township, Brown County, Minnesota",488,68
0600000US2701534442,2701534442,"Lake Hanska township, Brown County, Minnesota",284,47
0600000US2701536116,2701536116,"Leavenworth township, Brown County, Minnesota",318,64
0600000US2701537214,2701537214,"Linden township, Brown County, Minnesota",299,45
0600000US2701542182,2701542182,"Milford township, Brown County, Minnesota",752,89
0600000US2701544746,2701544746,"Mulligan township, Brown County, Minnesota",191,44
0600000US2701546042,2701546042,"New Ulm city, Brown County, Minnesota",13279,21
0600000US2701547248,2701547248,"North Star township, Brown County, Minnesota",286,57
0600000US2701552342,2701552342,"Prairieville township, Brown County, Minnesota",213,41
0600000US2701560160,2701560160,"Sigel township, Brown County, Minnesota",465,83
0600000US2701560844,2701560844,"Sleepy Eye city, Brown County, Minnesota",3475,21
0600000US2701561816,2701561816,"Springfield city, Brown County, Minnesota",2016,169
0600000US2701562518,2701562518,"Stark township, Brown County, Minnesota",351,88
0600000US2701562590,2701562590,"Stately township, Brown County, Minnesota",210,48
0600000US2701702656,2701702656,"Atkinson township, Carlton County, Minnesota",367,55
0600000US2701703016,2701703016,"Automba township, Carlton County, Minnesota",121,25
0600000US2701703628,2701703628,"Barnum city, Carlton County, Minnesota",695,92
0600000US2701703646,2701703646,"Barnum township, Carlton County, Minnesota",913,123
0600000US2701705518,2701705518,"Beseman township, Carlton County, Minnesota",176,46
0600000US2701706328,2701706328,"Blackhoof township, Carlton County, Minnesota",997,140
0600000US2701710018,2701710018,"Carlton city, Carlton County, Minnesota",1034,164
0600000US2701711750,2701711750,"Clear Creek UT, Carlton County, Minnesota",145,44
0600000US2701712160,2701712160,"Cloquet city, Carlton County, Minnesota",12047,38
0600000US2701713780,2701713780,"Cromwell city, Carlton County, Minnesota",241,54
0600000US2701717332,2701717332,"Eagle township, Carlton County, Minnesota",566,91
0600000US2701729942,2701729942,"Holyoke township, Carlton County, Minnesota",197,46
0600000US2701732264,2701732264,"Kalevala township, Carlton County, Minnesota",321,57
0600000US2701732966,2701732966,"Kettle River city, Carlton County, Minnesota",161,31
0600000US2701735162,2701735162,"Lakeview township, Carlton County, Minnesota",208,45
0600000US2701739464,2701739464,"Mahtowa township, Carlton County, Minnesota",632,90
0600000US2701743954,2701743954,"Moose Lake city, Carlton County, Minnesota",2840,19
0600000US2701743972,2701743972,"Moose Lake township, Carlton County, Minnesota",1079,163
0600000US2701746820,2701746820,"North Carlton UT, Carlton County, Minnesota",780,106
0600000US2701750446,2701750446,"Perch Lake township, Carlton County, Minnesota",961,100
0600000US2701758936,2701758936,"Scanlon city, Carlton County, Minnesota",1162,163
0600000US2701760232,2701760232,"Silver township, Carlton County, Minnesota",420,68
0600000US2701760268,2701760268,"Silver Brook township, Carlton County, Minnesota",638,91
0600000US2701760664,2701760664,"Skelton township, Carlton County, Minnesota",455,83
0600000US2701761708,2701761708,"Split Rock township, Carlton County, Minnesota",184,42
0600000US2701764768,2701764768,"Thomson township, Carlton County, Minnesota",5046,27
0600000US2701765902,2701765902,"Twin Lakes township, Carlton County, Minnesota",2021,220
0600000US2701771788,2701771788,"Wrenshall city, Carlton County, Minnesota",512,101
0600000US2701771806,2701771806,"Wrenshall township, Carlton County, Minnesota",389,56
0600000US2701771824,2701771824,"Wright city, Carlton County, Minnesota",174,58
0600000US2701905266,2701905266,"Benton township, Carver County, Minnesota",782,96
0600000US2701909406,2701909406,"Camden township, Carver County, Minnesota",898,111
0600000US2701910144,2701910144,"Carver city, Carver County, Minnesota",4328,21
0600000US2701910918,2701910918,"Chanhassen city, Carver County, Minnesota",24796,48
0600000US2701910972,2701910972,"Chaska city, Carver County, Minnesota",25078,76
0600000US2701912664,2701912664,"Cologne city, Carver County, Minnesota",1655,109
0600000US2701914482,2701914482,"Dahlgren township, Carver County, Minnesota",1274,136
0600000US2701926666,2701926666,"Hamburg city, Carver County, Minnesota",500,81
0600000US2701926918,2701926918,"Hancock township, Carver County, Minnesota",309,51
0600000US2701929726,2701929726,"Hollywood township, Carver County, Minnesota",980,113
0600000US2701935108,2701935108,"Laketown township, Carver County, Minnesota",2092,213
0600000US2701941138,2701941138,"Mayer city, Carver County, Minnesota",1973,154
0600000US2701945556,2701945556,"New Germany city, Carver County, Minnesota",404,71
0600000US2701947520,2701947520,"Norwood Young America city, Carver County, Minnesota",3655,24
0600000US2701958486,2701958486,"San Francisco township, Carver County, Minnesota",801,112
0600000US2701967036,2701967036,"Victoria city, Carver County, Minnesota",8385,24
0600000US2701967432,2701967432,"Waconia city, Carver County, Minnesota",11523,21
0600000US2701967450,2701967450,"Waconia township, Carver County, Minnesota",1155,188
0600000US2701968548,2701968548,"Watertown city, Carver County, Minnesota",4298,25
0600000US2701968566,2701968566,"Watertown township, Carver County, Minnesota",1519,245
